country_code,code,name
ES,01,Andalucía
ES,02,Aragón
ES,03,Asturias
ES,04,Baleares
ES,05,Canarias
ES,06,Cantabria
ES,07,Castilla y León
ES,08,Castilla-La Mancha
ES,09,Cataluña
ES,10,Comunidad Valenciana
ES,11,Extremadura
ES,12,Galicia
ES,13,Madrid
ES,14,Murcia
ES,15,Navarra
ES,16,País Vasco
ES,17,La Rioja
ES,18,Ceuta
ES,19,Melilla
