Fecha/Data,Descripcion,Deskribapena,Lugar,Tokia,Territorio/lurraldea,Codigo Eustat,Latitud,Longitud,,,
28/12/2020,San Esteban,Doneztebe,Etxebarri  ,Etxebarri  ,Bizkaia,29,43,247179,-2,890139,
30/11/2020,San Antonio,San Antonio,Etxebarria  ,Etxebarria  ,Bizkaia,30,43,254146,-2,477354,
11/11/2020,San Martin ,Martin Deuna ,Forua  ,Forua  ,Bizkaia,906,43,333712,-2,678589,
06/08/2020,San Salvador  ,Salbador Deuna,Fruiz  ,Fruiz  ,Bizkaia,35,43,328889,-2,783333,
14/09/2020,Exaltación de la Santa Cruz,Gurutze Santuaren Gorozpena,Galdakao  ,Galdakao  ,Bizkaia,36,43,230556,-2,845833,
29/06/2020,San Pedro Apóstol  ,San Pedro Apostol,Galdames  ,Galdames  ,Bizkaia,37,43,255000,-3,96389,
30/11/2020,San Andrés,San Andres,Gamiz-Fika  ,Gamiz-Fika  ,Bizkaia,38,43,311728,-2,810701,
24/06/2020,Santa Juan,Santa Juan,Garai  ,Garai  ,Bizkaia,39,43,194722,-2,609722,
24/08/2020,San Bartolomé,Bartolome Deuna,Gatika  ,Gatika  ,Bizkaia,40,43,363889,-2,871944,
02/09/2020,San Antolín  ,San Antolin,Gautegiz Arteaga,Gautegiz Arteaga,Bizkaia,41,43,353104,-2,650985,
29/06/2020,San Pedro,San Pedro,Gernika-Lumo  ,Gernika-Lumo  ,Bizkaia,46,43,317073,-2,678975,
24/09/2020,Las Mercedes,Las Mercedes eguna,Getxo  ,Getxo  ,Bizkaia,44,43,344167,-3,6389,
08/09/2020,Andra Mari,Andra Mari,Gizaburuaga,Gizaburuaga,Bizkaia,47,43,331940,-2,536111,
25/09/2020,San Cosme y San Damián,San Cosme y San Damián,Gordexola  ,Gordexola  ,Bizkaia,42,43,178611,-3,72778,
05/08/2020,Nuestra Señora de Aguirre y de las Nieves,Nuestra Señora de Aguirre y de las Nieves,Gorliz  ,Gorliz  ,Bizkaia,43,43,416667,-2,933333,
10/08/2020,San Lorenzo,Lorentzo Deuna,Güeñes  ,Güeñes  ,Bizkaia,45,43,210321,-3,95317,
11/06/2020,Corpus Christi,Corpus Christi,Ibarrangelu,Ibarrangelu,Bizkaia,48,43,390215,-2,633802,
12/06/2020,Fiesta local,Tokiko jai-eguna,Igorre,Igorre,Bizkaia,94,43,165833,-2,776111,
29/09/2020,San Miguel  ,Mikel Deuna,Ispaster,Ispaster,Bizkaia,49,43,362954,-2,544635,
29/09/2020,San Miguel  ,San Miguel,Iurreta  ,Iurreta  ,Bizkaia,910,43,176705,-2,633777,
08/09/2020,Fiesta local,Tokiko jai-eguna,Izurtza  ,Izurtza  ,Bizkaia,50,43,152273,-2,641978,
18/09/2020,Nuestra Señora del Buen Suceso,Buen Sucesoko Ama,Valle de Carranza,Karrantza Harana,Bizkaia,22,43,225278,-3,359444,
27/07/2020,Fiesta local,Tokiko jai-eguna,Kortezubi  ,Kortezubi  ,Bizkaia,907,43,335982,-2,654319,
05/08/2020,Fiesta local,Tokiko jai-eguna,Lanestosa,Lanestosa,Bizkaia,51,43,221169,-3,439148,
15/05/2020,San Isidro Labrador,San Isidro, baserritarra,Larrabetzu,Larrabetzu,Bizkaia,52,43,260973,-2,796175
29/09/2020,San Miguel,San Miguel,Laukiz,Laukiz,Bizkaia,53,43,353333,-2,906111,
