Fecha/Data,Descripcion,Deskribapena,Lugar,Tokia,Territorio/lurraldea,Codigo Eustat,Latitud,Longitud,,,
02/07/2020,Santa Isabel,Santixabel,Usurbil  ,Usurbil  ,Gipuzkoa,73,43,271382,-2,49934,
11/11/2020,San Martin de Tours,San Martin de Tours,Villabona  ,Billabona  ,Gipuzkoa,75,43,189944,-2,52453,
06/10/2020,Santa Fe  ,Santa Fe,Zaldibia  ,Zaldibia  ,Gipuzkoa,78,43,37964,-2,150894,
26/06/2020,San Pelayo  ,San Pelaio,Zarautz  ,Zarautz  ,Gipuzkoa,79,43,280364,-2,171588,
01/06/2020,Lunes de Pentecostés  ,Mendekoste astelehena,Zegama  ,Zegama  ,Gipuzkoa,25,42,975677,-2,290072,
14/08/2020,Fiesta local,Tokiko jaieguna,Zerain  ,Zerain  ,Gipuzkoa,26,43,12119,-2,274118,
08/09/2020,Festividad de la Virgen,Ama Birjinaren eguna,Zestoa  ,Zestoa  ,Gipuzkoa,27,43,239442,-2,258113,
09/09/2020,Nuestra Señora de Arantzazu,Arantzazuko Ama,Zizurkil  ,Zizurkil  ,Gipuzkoa,28,43,199523,-2,74073,
29/06/2020,San Pedro  ,San Pedro,Zumaia  ,Zumaia  ,Gipuzkoa,81,43,297258,-2,256848,
02/07/2020,Santa Isabel  ,Santa Isabel,Zumarraga  ,Zumarraga  ,Gipuzkoa,80,43,90476,-2,313220,
03/02/2020,San Blas,San Joan Bataiatzailea,Alegría-Dulantzi,Alegria-Dulantzi,Álava - Araba,2,42,841035,-2,512684,
17/08/2020,Fiesta local,Tokiko jai-eguna,Amurrio,Amurrio,Álava - Araba,1,43,57875,-2,998775,
10/07/2020,San Cristóbal,Done Kristobal,Añana  ,Añana  ,Álava - Araba,49,42,802352,-2,982607,
06/07/2020,Fiesta local,Tokiko jaieguna,Aramaio  ,Aramaio  ,Álava - Araba,3,43,54000,-2,566000,
11/11/2020,San Martín de Tours,Tourseko San Martin,Armiñón  ,Armiñón  ,Álava - Araba,6,42,723045,-2,872574,
15/06/2020,Fiesta local,Tokiko jaieguna,Arraia-Maeztu  ,Arraia-Maeztu  ,Álava - Araba,37,42,739815,-2,445980,
28/12/2020,Fiesta local,Tokiko jaieguna,Arrazua-Ubarrundia  ,Arrazua-Ubarrundia  ,Álava - Araba,8,42,890278,-2,639167,
08/09/2020,Virgen de la Encina,Arteko Andra Maria,Artziniega  ,Artziniega  ,Álava - Araba,4,43,122201,-3,128209,
29/06/2020,Fiesta local,Tokiko jaieguna,Asparrena  ,Asparrena  ,Álava - Araba,9,42,895667,-2,321000,
27/07/2020,Santiago,Done Jakue,Ayala - Agiñaga,Aiara - Agiñaga,Álava - Araba,10,43,35080,-3,71144,
21/05/2020,San Ramiro,Done Ramiro,Ayala - Añes  ,Aiara - Añes  ,Álava - Araba,10,43,58414,-3,132924,
29/09/2020,San Miguel,Done Mikel,Ayala - Beotegi  ,Aiara - Beotegi  ,Álava - Araba,10,43,88660,-3,75259,
29/09/2020,San Miguel,Done Mikel,Ayala - Costera  ,Aiara - Opellora,Álava - Araba,10,43,102599,-3,103772,
04/05/2020,La Cruz,Gurutzea,Ayala - Erbi  ,Aiara - Erbi  ,Álava - Araba,10,43,74143,-3,111819,
08/05/2020,Ntra. Sra. de la Antigua ,Antiguako Ama ,Ayala - Etxegoien  ,Aiara - Etxegoien  ,Álava - Araba,10,43,43726,-3,21070,
07/01/2020,San Julián,Done Julian,Ayala - Izoria  ,Aiara - Izoria  ,Álava - Araba,10,43,61416,-3,36324,
09/12/2020,La Inmaculada,Sortzez Garbiaren Eguna,Ayala - Lejarzo  ,Aiara - Lejarzo  ,Álava - Araba,10,43,60158,-3,122923,
17/08/2020,La Asunción,Jasokundearen Eguna,Ayala - Lujo  ,Aiara - Luxo  ,Álava - Araba,10,43,77952,-3,96407,
22/07/2020,La Magdalena,Magdalena Eguna,Ayala - Luiaondo  ,Aiara - Luiaondo  ,Álava - Araba,10,43,102723,-2,997211,
27/07/2020,Santiago,Done Jakue,Ayala - Llanteno  ,Aiara - Llanteno  ,Álava - Araba,10,43,91803,-3,99984,
23/11/2020,San Clemente,Done Klemente,Ayala - Madaria  ,Aiara - Madaria  ,Álava - Araba,10,43,43890,-3,85953,
17/01/2020,San Antón,Done Anton,Ayala - Maroño  ,Aiara - Maroño  ,Álava - Araba,10,43,55065,-3,59010,
29/06/2020,San Pedro,Done Petri,Ayala - Menagarai  ,Aiara - Menagarai  ,Álava - Araba,10,43,96299,-3,72769,
25/04/2020,San Marcos,Done Marko,Ayala - Menoio  ,Aiara - Menoio  ,Álava - Araba,10,43,69585,-3,72926,
24/06/2020,San Juan,Done Joane,Ayala - Murga  ,Aiara - Murga  ,Álava - Araba,10,43,75372,-3,25590,
24/01/2020,San Babilás,Done Babilas,Ayala - Olabezar  ,Aiara - Olabezar  ,Álava - Araba,10,43,69997,-3,14813,
08/10/2020,Ntra. Sra. del Rosario ,Errosarioko Andra Maria,Ayala - Ozeka  ,Aiara - Ozeka  ,Álava - Araba,10,43,70824,-3,90905,
05/08/2020,Las Nieves,Elurretako Andra Maria,Ayala - Quejana  ,Aiara - Kexaa,Álava - Araba,10,43,81485,-3,63094,
15/05/2020,San Isidro,Done Isidro,Ayala - Respaldiza  ,Aiara - Arespalditza  ,Álava - Araba,10,43,78065,-3,42931,
22/07/2020,La Magdalena,Magdalena Eguna,Ayala - Retes de Llanteno  ,Aiara - Retes de Llanteno  ,Álava - Araba,10,43,91803,-3,99984,
18/07/2020,Santa Marina,Dona Marina,Ayala - Salmantón  ,Aiara - Salmanton  ,Álava - Araba,10,43,52629,-3,88347,
31/08/2020,San Emeterio,Done Meteri,Ayala - Sojo  ,Aiara - Sojo  ,Álava - Araba,10,43,90730,-3,122839,
18/07/2020,Santa Marina ,Dona Marina,Ayala - Zuaza  ,Aiara - Zuaza  ,Álava - Araba,10,43,99672,-3,49447,
10/07/2020,San Cristóbal,Done Kristobal,Baños de Ebro  ,Mañueta,Álava - Araba,11,42,530290,-2,679144,
24/06/2020,San Juan,Done Joane,Barrundia  ,Barrundia  ,Álava - Araba,13,42,916667,-2,491667,
08/09/2020,Asunción de María,Jasokundearen eguna,Berantevilla  ,Berantevilla  ,Álava - Araba,14,42,682450,-2,860401,
08/09/2020,Fiesta local,Tokiko jaieguna,Bernedo  ,Bernedo  ,Álava - Araba,16,42,626684,-2,497532,
15/05/2020,San Isidro,Done Isidro,Campezo  ,Kanpezu,Álava - Araba,17,42,691944,-2,370000,
08/09/2020,La Virgen,Andra Maria,Kripan  ,Kripan  ,Álava - Araba,19,42,591666,-2,516079,
24/06/2020,Fiesta local,Tokiko jaieguna,Kuartango  ,Kuartango  ,Álava - Araba,20,42,871389,-2,885556,
29/06/2020,San Pedro,San Pedro,Elburgo  ,Burgelu,Álava - Araba,21,42,849564,-2,544762,
08/09/2020,Virgen de la Plaza,Plazako Andra Maria,Elciego  ,Zieko,Álava - Araba,22,42,515073,-2,618277,
15/05/2020,San Isidro,San Isidro,Elvillar,Bilar,Álava - Araba,23,42,570497,-2,544915,
15/05/2020,San Isidro Labrador,San Isidro Nekazaria,Valle de Arana,Harana,Álava - Araba,,42,752731,-2,312303,
14/08/2020,San Roque,Done Roke,Iruña de Oca - Nanclares de la Oca,Iruña Oka - Langraiz Oka,Álava - Araba,901,42,817197,-2,811518,
24/06/2020,San Juan,Done Joane,Iruraiz-Gauna  ,Iruraiz-Gauna  ,Álava - Araba,27,42,822072,-2,495043,
26/11/2020,2º día de Acción de Gracias  ,2. Esker Oneko Eguna,Labastida  ,Labastida  ,Álava - Araba,28,42,590459,-2,792991,
24/08/2020,Fiesta local,Tokiko jaieguna,Lagrán  ,Lagrán  ,Álava - Araba,30,42,626395,-2,583820,
24/06/2020,San Juan,Done Joane,Laguardia  ,Laguardia  ,Álava - Araba,31,42,554278,-2,584237,
08/09/2020,Virgen del Campo,Amabirjina,Lanciego  ,Lantziego  ,Álava - Araba,32,42,562619,-2,513204,
16/09/2020,Santos Cornelio y Cipriano  ,Done Kornelio eta Done Zipri,Lantarón  ,Lantarón  ,Álava - Araba,902,42,756673,-2,987556,
24/08/2020,San Bartolomé,Done Bartolome,Lapuebla de Labarca  ,Lapuebla de Labarca  ,Álava - Araba,33,42,493969,-2,573024,
14/09/2020,La Cofradias,Kofradiak,Legutio,Legutiano  ,Álava - Araba,58,42,977822,-2,642724,
17/08/2020,Fiesta local,Tokiko jaieguna,Leza  ,Leza  ,Álava - Araba,34,42,566068,-2,633635,
17/08/2020,Fiesta local,Tokiko jaieguna,Llodio  ,Laudio,Álava - Araba,36,43,143333,-2,962985,
22/10/2020,Santa Nunilo y Alodia,Alodia eta Nunilo Santuak,Moreda de Alava  ,Moreda de Alava  ,Álava - Araba,39,42,528016,-2,407670,
02/06/2020,San Juan de Ortega,Done Joane Ortegakoa,Navaridas  ,Nabaridas  ,Álava - Araba,41,42,545171,-2,624532,
24/08/2020,San Bartolomé,San Bartolome,Okondo  ,Okondo  ,Álava - Araba,42,43,162222,-3,18889,
22/01/2020,San Vicente y San Anastasio,Bikendi eta Anastasi Santuak,Oyón/Oion  ,Oyón/Oion  ,Álava - Araba,43,42,506137,-2,436965,
15/05/2020,San Isidro Labrador,Done Isidro Nekazaria,Peñacerrada  ,Urizaharra,Álava - Araba,44,42,644095,-2,713374,
15/05/2020,San Isidro Labrador,Done Isidro Nekazaria,Ribera Alta  ,Erribera Goitia,Álava - Araba,46,42,807222,-2,917500,
31/08/2020,Fiesta local,Tokiko jaieguna,Ribera Baja  ,Erribera Beitia,Álava - Araba,47,42,719678,-2,907609,
24/06/2020,San Juan Bautista,San Joan Bataiatzailea,Salvatierra  ,Agurain,Álava - Araba,51,42,852442,-2,389455,
08/09/2020,Nuestra Señora Virgen del Valle,Haranako Andra Maria,Samaniego  ,Samaniego  ,Álava - Araba,52,42,569832,-2,680185,
13/11/2020,San Millán,Done Milian,San Millán,Donemiliaga,Álava - Araba,53,42,874722,-2,376111,
05/10/2020,Nuestra Señora del Rosario,Errosarioko Andra Maria,Urkabustaiz  ,Urkabustaiz  ,Álava - Araba,54,42,971944,-2,922222,
15/05/2020,Fiesta local,Tokiko jaieguna,Valdegovía  ,Valdegovía  ,Álava - Araba,55,42,850000,-3,100000,
15/05/2020,San Torcuato,Done Torkuato,Villabuena de Álava  ,Eskuernaga,Álava - Araba,57,42,548717,-2,665456,
05/08/2020,Vírgen Blanca,Andra Mari Zuria,Vitoria-Gasteiz  ,Vitoria-Gasteiz  ,Álava - Araba,59,42,846406,-2,667893,
21/08/2020,Nuestra Señora de Bercijana,Berzijanako Andra Maria,Yécora,Ikeora,Álava - Araba,60,42,569303,-2,470064,
12/06/2020,San Kisimos,Hargatiko Eguna,Zalduondo  ,Zalduondo  ,Álava - Araba,61,42,885626,-2,347254,
05/08/2020,Fiesta local,Tokiko jaieguna,Zambrana  ,Zambrana  ,Álava - Araba,62,42,659981,-2,879353,
05/08/2020,Fiesta local,Tokiko jaieguna,Zigoitia  ,Zigoitia  ,Álava - Araba,18,42,968200,-2,718300,
29/09/2020,San Miguel,San Miguel,Zuia  ,Zuia  ,Álava - Araba,63,42,981667,-2,844000,
